%ename 
%prompt ?
%selkey 1234567890
%dupsel 10
%keyname begin
lpta 连长
lptn 国家税务局
lptn 国家物价局
lptn 国家版权局
lptt 国家科委
lptu 国家利益
lptw 国家科学技术委员会
lptw 国家科学技术工作委员会
lptw 国家自然科学基金委员会
lpty 连篇
lpuc 连闯
lpud 边关
lpun 国家商检局
lpuq 固定资金
lpus 固定资本
lput 国家决算
lpuu 固定资产
lpv 边
lpvn 国家建材局
lpvn 国家建筑材料工业局
lpvy 国家建设
lpwn 国家保密局
lpws 固定价格
lpwt 连任
lpwt 国家体委
lpwt 国家体改委
lpww 国家体育运动委员会
lpxe 国家级
lpxf 连结
lpxf 连续
lpxf 边疆
lpxg 边线
lpxn 国家统计局
lpxr 连绵
lpxw 国家经济贸易委员会
lpxw 国家经济体制改革委员会
lpxx 边缘
lpxy 国家经济建设
lpya 国家计划
lpyn 国家旅游局
lpyn 国家文物局
lpyq 置之度外
lpys 国家主权
lpyt 国家计委
lpyt 国家计生委
lpyt 国家语委
lpyw 国家计划委员会
lpyw 国家计划生育委员会
lpyw 国家语言文字工作委员会
lpyy 国家主席
lq 罗
lqbb 鸭子
lqcn 罗马
lqdi 轩然大波
lqfg 罗干
lqfq 斩钉截铁
lqgq 罗列
lqhi 力争上游
lqi 轹
lqic 罗汉
lqic 蜀汉
lqiy 轹
lqj 蜀
lqju 蜀
lqlk 逻辑
lqme 软骨
lqmm 罗山
lqmq 罗网
lqp 逻
lqpb 因名额有限
lqpi 逻
lqr 囫
lqre 囫
lqrq 黯然失色
lqry 连锁反应
lqss 软禁
lqte 软盘
lqte 罗盘
lqu 罗
lquf 软包装
lqw 软
lqwr 软件
lqws 软体
lqwx 软化
lqwy 软
lqxu 软弱
lqy 鸭
lqyf 国外市场
lqyg 鸭
lqyp 转危为安
lr 斩
lraw 团的工作
lrc 畈
lrce 力所能及
lrcy 畈
lreg 暂且
lret 暂用
lrf 堑
lrff 堑
lrgi 暂不
lrgk 轶事
lrgo 连年不断
lrh 斩
lrhk 转折点
lrip 轻描淡写
lrj 暂
lrjf 暂时
lrnm 固执己见
lrpg 暂定
lrpu 罪魁祸首
lrq 錾
lrqf 錾
lrqi 力挽狂澜
lrrm 暂缺
lrs 椠
lrsf 软指标
lrsu 椠
lrtf 暂行
lrtn 因势利导
lrub 轶闻
lruu 转折关头
lrvd 力挫群雄
lrw 轶
lrwy 暂停
lrwy 暂住
lrwy 力排众议
lrxe 暂缓
ls 困
lsad 困惑
lsad 恩格斯
lsak 困惑
lsaw 思想工作
lscw 困难
lsdb 困厄
lsdn 思想感情
lsfm 黔西南
lsfs 连想都不敢想
lsfu 困境
lsh 町
lshh 思想上
lsi 困
lsik 思想活跃
lsit 思想混乱
lsk 轲
lskg 轲
lsnt 思想性
lspf 困守
lsqp 思想包袱
lsrd 困扰
lssf 轻飘飘
lssk 墨西哥
lstp 困乏
lsuq 思想斗争
lswu 困倦
lsyf 因材施教
lsyi 思想方法
lt 力
ltbd 国务院办公厅
ltbg 国务院总理
ltbg 国务院副总理
ltbn 国务院机关事务管理局
ltbn 国务院宗教事务局
ltbp 国务院
ltbp 国务院侨务办公室
ltbp 国务院特区办公室
ltbp 国务院外事办公室
ltbp 国务院港澳办公室
ltbp 国务院台湾事务办公室
ltd 轿
ltde 略有
ltdi 四处奔波
ltdj 轿
ltdq 力克
ltfc 略去
ltff 田径运动
ltfi 力求
ltfp 暂行规定
ltga 图形
ltgc 办得到
ltge 图表
ltgf 置身于
ltgf 略知一二
ltgl 图画
ltif 四处活动
ltip 力学
ltip 软科学
ltjg 力量
ltjy 图景
ltk 略
ltkg 辂
ltlg 轿车
ltli 暂行办法
ltlk 略加
ltll 罪行累累
ltlt 略图
ltlt 连篇累牍
ltmq 因特网
ltn 力
ltnd 囤积居奇
ltnn 图书
ltpf 田径赛
ltpv 图案
ltqe 图解
ltqi 因特尔
ltqj 图象
ltqt 国务卿
ltqv 力争
ltrj 因私护照
ltrn 力气
ltsu 图样
lttd 略知
lttd 力矩
lttf 力行
ltth 图片
lttk 国务委员
lttm 略微
ltu 图
ltuh 轷
ltui 图
ltuj 图章
ltut 国务部长
ltvm 恩重如山
ltwg 图例
ltwk 力促
ltwq 图像
ltwr 因条件限制
ltxq 图纸
lty 畋
ltya 力度
ltya 图谋
ltyg 略语
lu 较
lubb 圈子
lucw 较难
lud 圈
ludb 圈
ludd 较大
ludd 圈套
luf 畔
lufh 畔
lufq 较远
luhb 轻装上阵
luih 较小
luit 较少
luj 疃
lujc 较紧
lujf 疃
lujg 较量
lujq 较易
lul 罾
lulc 较轻
lulj 罾
luln 畏首畏尾
lunn 较快
lupp 较之
luq 较
luqi 轻音乐
luqq 较多
luqy 较
lurp 较近
luta 较长
lutd 较短
lutg 较重
luud 较差
luuf 轻装前进
luuu 圈阅
luvb 较好
luvr 男尊女卑
luwd 较优
luwq 较低
luwr 恩将仇报
luwx 国产化
luxk 较强
luxu 较弱
luyl 较为
luym 较高
luyw 车间主任
lv 轨
lvbw 男女队
lvd 囡
lvfi 男女老少
lvgt 男女平等
lvk 轺
lvkg 轺
lvl 辎
lvlg 辎
lvn 轨
lvut 轨道
lvy 轫
lvyo 轨迹
lvyy 轫
lw 办
lwbb 轮子
lwbm 输出
lwbv 界限
lwdd 加拿大
lwdg 办厂
lwdm 界面
lwdn 因人而异
lwdo 四化大业
lwdr 界碑
lwds 办公厅
lwdt 四人帮
lwe 轸
lwec 轮胎
lwek 办公用品
lwet 畛
lwev 办妥
lwg 输
lwgg 辁
lwgj 办理
lwgk 办事
lwgw 四个现代化
lwgy 轮班
lwhj 办公桌
lwi 囚
lwif 办法
lwip 办学
lwiq 输光
lwis 界河
lwiy 轮流
lwj 界
lwjj 界
lwjn 输电
lwjr 四个坚持
lwlm 轮轴
lwoo 固体燃料
lwpf 团体赛
lwpg 界定
lwpp 团体冠军
lwpv 办案
lwqn 软件包
lwqt 囚犯
lwrh 输掉
lwrj 因公护照
lwrq 轮换
lwsd 轮椅
lwso 办公楼
lwss 囚禁
lwsy 界桩
lwte 轮船
lwtl 输血
lwto 轮番
lwtw 办公自动化
lwty 输入
lwud 输送
lwuk 软件部
lwvb 办好
lwvy 四化建设
lwwc 办公
lwwf 团代会
lwwt 轮作
lwwy 办公会议
lwx 轮
lwxg 界线
lwxj 办公费
lwxn 轮
lwxv 囵
lwy 囹
lwyc 囹
lwyk 轮训
lwyn 输赢
lwyt 办公设备
lwyy 轮廓
lx 累
lxbw 甲级队
lxcl 思维能力
lxee 累月
lxfa 边疆地区
lxfc 软弱无能
lxfj 累进
lxfl 软弱无力
lxfw 连绵起伏
lxge 团结互助
lxgg 团结一致
lxgo 连绵不断
lxgq 累赘
lxgu 畏缩不前
lxi 累
lxia 鸭绿江
lxit 边缘学科
lxiu 累
lxlk 累加
lxlp 毗连
lxlx 累累
lxnt 连续性
lxrh 累年
lxtg 加强管理
lxti 边缘科学
lxtk 累积
lxtp 回乡务农
lxuk 轻纺产品
lxwh 连续作战
lxwn 加强领导
lxww 团结合作
lxwy 毗邻
lxx 毗
lxxk 团组织
lxxn 毗
lxxr 软绵绵
lxyf 累计
ly 罚
lyab 国庆节
lyc 辙
lyct 辙
lyf 詈
lyff 罚款
lygf 略高于
lyj 罚
lyjj 国庆日
lyn 辘
lynt 国计民生
lynx 辘
lyqq 罚金
lyrq 转弯抹角
lytl 因为种种原因
lyua 图文并茂
lyud 国库券
m 同
ma 曲
maaa 同甘共苦
maah 典雅
maai 典范
maan 曲艺
mabb 曲子
mad 曲
mada 内蒙古自治区
madd 嵌套
madg 内蒙古
madm 见世面
madt 贼
madt 典故
maf 嵌
mafh 曲直
mafw 嵌
maga 典型
mags 同工不同酬
mah 岈
maht 岈
mai 岽
mait 山东省
maiu 岽
mams 同工同酬
mant 周期性
map 崂
mapl 崂
maps 嵘
mapy 典礼
maq 岖
maqe 曲解
maqy 岖
marr 曲折
matd 典籍
maty 嵌入
maug 曲靖
maw 典
mawn 曲阜
mawu 典
maxg 曲线
maym 曲调
mb 邮
mbdc 邮码
mbgh 邮政
mbgl 同出一辙
mbh 邮
mbjn 邮电
mbkh 邮路
mbmq 邮购
mbnn 邮局
mbpd 邮寄
mbqn 邮包
mbqx 内联外引
mbrr 风险抵押
mbru 风险投资
mbsf 邮票
mbuq 邮资
mbux 邮递
mbwr 邮件
mbxj 邮费
mbxy 邮编
mc 凤
mcb 岜
mcf 峄
mcfh 峄
mci 凤
mcjr 风驰电掣
mck 贻
mckg 贻
mcmi 峻峭
mcmr 凤凰
mcmw 峻岭
mcsi 刚柔相济
mcu 殳
mcw 峻
mcwt 峻
mcyk 贻误
md 央
mdbt 内在联系
mddg 岩石
mde 贿
mdeg 贿
mdf 岩
mdfe 赈
mdff 崖
mdfi 央求
mdfj 岸
mdg 岵
mdgt 崴
mdhg 岂有此理
mdhh 岸上
mdi 央
mdj 崦
mdjn 崦
mdl 盎
mdlf 盎
mdlp 岸边
mdm 遄
mdma 崎岖
mdmm 颛
mdmp 遄
mdmt 贿赂
mdng 盎司
mdo 炭
mdou 炭
mdpo 赈灾
mdpy 见面礼
mdq 鸯
mdqd 盎然
mdqg 鸯
mds 崎
mdsk 崎
mdtf 央行
mdtv 周而复始
me 骨
med 髓
medg 骷
medo 骨灰
medp 髓
medx 崩龙
mee 崩
meef 崩
mef 胄
mefg 骨干
mefj 崩塌
megq 崩裂
meik 崩溃
mej 髁
mejs 髁
mel 髑
melj 髑
melk 骨架
mem 骰
memc 骰
meme 骨髓
memw 骨肉
meo 髅
meov 髅
mep 髂
mepk 髂
mepq 髋
mepw 髌
meq 鹘
meqg 鹘
meqy 骶
mer 骺
merf 髀
merk 骺
mern 骨气
merr 骨折
met 骼
metk 骼
metu 骨科
meud 骨头
mew 骱
mewj 骱
mey 骸
meyu 岌
meyw 骸
mf 财
mfad 周期
mfc 岐
mfcy 岐
mfd 冉
mff 峙
mffb 风雨无阻
mffg 赌博
mffi 风起云涌
mffj 周刊
mffn 赌场
mffy 峙
mfgc 周到
mfgh 财政
mfgs 周末
mfh 巅
mfhm 巅
mfi 赇
mfid 财源
mfiu 山南海北
mfiy 赇
mfiy 赌注
mfk 周
mfkd 周
mfkk 周口
mfky 雕
mfld 赎罪
mflf 周围
mflj 骨干力量
mflt 财力
mfmf 冉冉
mfmq 周岁
mfmt 风雨同舟
mfn 赎
mfnd 赎
mfnu 赎买
mfpg 财富
mfpn 周密
mfpy 财神
mfqy 财贸
mfrb 周报
mfrg 几十年来
mfrh 周年
mfrj 几十年如一日
mfrr 周折
mfsc 财权
mft 财
mftd 周知
mftf 赌徒
mftj 赌
mftl 财务
mftr 财物
mftt 财
mftu 财税
mfub 雕塑
mful 风雨交加
mfuq 崭露头角
mfut 财产
mfwf 财会
mfwg 周全
mfwn 风土人情
mfwo 骨干企业
mfwq 雕像
mfws 山雨欲来风满楼
mfwt 风云人物
mfwu 同志们
mfxc 财经
mfyg 财主
mfyn 雕刻
mfyt 周旋
mfyu 周详
mfyx 风云变幻
mg 同
mga 赋
mgad 同期
mgah 岍
mgal 由于某种原因
mgbg 败下阵来
mgcb 赋予
mgck 同台
mgct 财政预算
mgde 赋有
mgdg 同感
mgdh 由下而上
mgdj 同辈
mgdr 夙愿
mge 赙
mgef 赙
mgej 由表及里
mgeq 同胞
mgfa 典型示范
mgfb 财政支出
mgfn 同志
mgfp 财政赤字
mggd 网开一面
mggf 赋于
mggg 同一
mggk 同事
mggo 几天来
mggt 财政政策
mghh 同上
mghi 同步
mghl 由于上述原因
mghw 同龄
mgig 风平浪静
mgik 山珍海味
mgip 同学
mgje 同盟
mgjf 同时
mgjh 财政监督
mgjj 同日
mgk 同
mgkd 同
mglc 财政困难
mgmy 几天几夜
mgn 屿
mgnd 同居
mgng 同情
mgnn 财政局
mgnn 邮政局
mgnq 由来已久
mgnt 同性
mgny 同心
mgo 崃
mgod 同类
mgog 同业
mgoy 崃
mgpm 财政补贴
mgpv 同安
mgpw 同窗
mgq 夙
mgqg 财政金融
mgqi 夙
mgqk 同名
mgqr 财政负担
mgqs 财政危机
mgrh 同年
mgrp 岁末年初
mgry 财政年度
mgsm 同机
mgsu 同样
mgt 贱
mgtf 同等
mgtg 财政管理
mgtj 由不得
mgtl 由于种种原因
mgtu 赋税
mgtw 见不得人
mgty 同往
mgu 峡
mguj 同意
mguk 财政部
mguq 财政资金
mgus 赋闲
mgut 同道
mguu 财政部门
mguu 财政状况
mguw 峡
mgwb 贩毒分子
mgwd 同僚
mgwf 同仁
mgwl 贩毒集团
mgwo 同伙
mgwt 邮政信箱
mgwu 同伴
mgww 峡谷
mgwx 同化
mgxd 邮政编码
mgxe 同级
mgxt 同乡
mgya 同谋
mgys 典型调查
mh 由
mhaj 帷幕
mhav 贴切
mhbb 帽子
mhbb 幌子
mhd 帱
mhdf 帱
mhdg 由此而来
mhdm 帆布
mhet 由此及彼
mhf 帏
mhfh 帏
mhfp 风餐露宿
mhft 同步增长
mhg 幅
mhgd 由点到面
mhgf 由于
mhgg 凹凸不平
mhgl 幅
mhgm 贴现
mhgm 帻
mhgo 由来
mhgr 由此来看
mhhc 帔
mhhh 帐目
mhhk 帖
mhhm 帧
mhhx 由此
mhj 帽
mhjc 幔
mhjh 帽
mhjq 幌
mhk 巾
mhk 贴
mhkg 贴
mhkg 帐号
mhkm 幅员
mhkw 帜
mhl 帼
mhly 帼
mhm 帆
mhmh 巾帼
mhmy 帆
mhnf 幄
mhng 由
mhny 贝
mho 幞
mhoy 幞
mhpu 贴补
mhr 帕
mhrg 由此看来
mhrp 贴近
mhrw 帙
mhsb 由此可以看出
mhsm 由此可见
mht 帐
mhte 帆船
mhth 贴息
mhtl 幡
mhtm 贴身
mhtt 帐篷
mhty 帐
mhu 幢
mhuf 幢
mhuj 帐单
mhuj 幛
mhw 帷
mhwy 帷
mhya 幅度
mhyk 由衷
mhyn 帐户
mi 峭
miad 财源茂盛
mie 峭
mieg 峭
mifl 内河运输
migs 雕梁画栋
miit 山清水秀
mijn 山洪暴发
mink 峭壁
miti 由浅入深
miud 山海关
mivq 崇洋媚外
miw 嵴
miwe 嵴
miwi 同流合污
miww 风尘仆仆
mj 则
mjad 同时期
mjaq 风景区
mjcb 赐予
mjcw 邮电通信
mjde 则有
mjft 赐教
mjgc 由易到难
mjh 则
mjir 山盟海誓
mjlg 同盟国
mjnn 邮电局
mjog 邮电业
mjpl 同盟军
mjq 赐
mjqr 赐
mjtg 风景秀丽
mjui 同时并举
mjuk 邮电部
mjv 岿
mjvf 岿
mjwf 同盟会
mjwu 风景优美
mkaf 风吹草动
mkbu 幅员辽阔
mkfr 风吹雨打
mkik 山呼海啸
mkp 迥
mkpd 迥
mkq 贶
mkqd 迥然
mkqn 贶
mkrm 贼喊捉贼
mkww 同路人
ml 崭
mld 崮
mldf 崮
mlgf 周围环境
mlgo 周恩来
mlh 岬
mljg 周转量
mln 崽
mlnu 崽
mlr 崭
mlrj 崭
mltl 财力物力
mluq 周转资金
mlus 崭新
mm 册
mmab 删节
mmad 巾帼英雄
mmai 山东
mmaq 山区
mmbw 删除
mmef 山脚
mmey 山脉
mmfb 山地
mmfd 山城
mmff 风风雨雨
mmfh 山坡
mmfm 山南
mmfx 山坳
mmg 岫
mmgd 凹
mmgh 山下
mmgj 删
mmgk 峒
mmgo 几内亚
mmgq 兕
mmhh 山上
mmia 山洪
mmii 山水
mmiq 山沟
mmis 山河
mmkh 山路
mmki 岗哨
mmkk 山口
mmkt 山川
mmm 山
mmme 峥嵘岁月
mmmm 崇山峻岭
mmmq 山冈
mmmt 山峰
mmmw 山岭
mmnt 删改
mmoo 山火
mmq 岗
mmqn 岘
mmqt 婴儿
mmqu 岚
mmr 罂
mmrg 山岳
mmrm 罂
mmsd 山顶
mmsf 山村
mmsg 山西
mmsq 岌岌可危
mmss 山林
mmud 山头
mmv 婴
mmvf 婴
mmvg 鹦
mmwt 见风使舵
mmwu 岗位
mmww 山谷
mmxt 山乡
mmyf 山庄
mmyo 山峦
mmyy 曲曲弯弯
mn 岂
mna 岷
mnal 内心世界
mnan 岷
mnb 岂
mnbm 崛
mnce 岂能
mndj 岂非
mnfh 崛起
mnfl 同心协力
mngg 贼心不死
mngi 岂不
mnh 嵋
mnhg 嵋
mnhh 岂止
mnj 剀
mnjh 剀
mnlt 见异思迁
mnm 凯
mnmm 峨眉山
mnmn 凯
mnmq 觊
mnmt 同心同德
mnn 屺
mnnb 岂敢
mnny 同情心
mnqk 内忧外患
mnsk 凯歌
mntd 岂知
mnte 刚愎自用
mnwg 觊觎
mnwj 岂但
mnww 贴心人
mny 赆
mnyt 凯旋
mnyu 赆
moo 赕
mooy 赕
moq 嶙
moqh 嶙
mosl 内燃机车
mouk 同类产品
mov 嵝
movg 嵝
mp 迪
mpad 贮藏
mpaq 崇敬
mpd 迪
mpdh 贮存
mpf 崇
mpfi 崇
mpfp 贻害无穷
mpg 贮
mpgf 见之于
mpgg 贮
mpim 崇尚
mpin 山穷水尽
mprd 崇拜
mprs 内容提要
mptl 贮备
mptw 内容简介
mpuu 赔礼道歉
mpw 崆
mpwa 崆
mpwq 财神爷
mpyd 迪庆
mpym 崇高
mpyy 崇文
mq 风
mqag 刚巧
mqai 风范
mqb 见
mqbw 风险
mqc 购
mqca 刚劲
mqcc 风骚
mqcy 购
mqd 赡
mqdc 网友
mqde 崤
mqdk 内外有别
mqdm 见面
mqdy 赡
mqee 岁月
mqee 风貌
mqes 风采
mqfc 风云
mqff 风土
mqfg 风雨
mqfh 网址
mqfh 风趣
mqfn 风声
mqfs 风霜
mqft 刚才
mqfv 风雪
mqgc 见到
mqgf 网球
mqgj 购销两旺
mqgk 风速
mqgm 迥然不同
mqgn 见多不怪
mqgq 刚烈
mqgs 岁末
mqh 飓
mqhk 网点
mqhw 飓
mqhx 财贸战线
mqi 冈
mqif 风尘
mqih 风波
mqii 风沙
mqij 风湿
mqim 风尚
mqiq 风光
mqiy 风流
mqj 刚
mqja 风暴
mqjg 峋
mqjh 刿
mqjs 刚果
mqjy 风景
mqk 岣
mqkc 网吧
mqkf 风味
mqkg 岣
mqkk 风口
mqlf 购置
mqlq 网罗
mqlt 风力
mqmh 风帆
mqmq 飓风
mqmu 巍然屹立
mqng 风情
mqnt 风发
mqnu 购买
mqo 飚
mqoo 飚
mqop 网迷
mqov 岁数
mqpf 风寒
mqpo 风灾
mqq 网
mqqe 见解
mqqi 购销
mqqk 网名
mqqn 飑
mqrb 见报
mqrn 风气
mqsm 风机
mqst 风格
mqsv 刚要
mqt 峁
mqta 见长
mqtb 峁
mqtf 风行
mqtm 风向
mqtq 风筝
mqtr 购物
mqtx 财贸系统
mqu 岁
mqub 见闻
mqud 赡养
mque 刚毅
mquh 网站
mquj 风韵
mqul 内外交困
mquq 见效
mquq 风姿
mquw 购销差价
mqv 峥
mqvb 刚好
mqvc 飕
mqvh 峥
mqww 风俗
mqwx 风化
mqxk 刚强
mqxt 网络
mqya 风度
mqyg 见证
mqyk 见识
mqyn 风扇
mqyo 网恋
mqys 风靡
mqyy 见多识广
mr 贩
mrbb 贩子
mrc 贩
mrcy 贩
mrfc 贩运
mrfm 见所未见
mrfn 贩卖
mrg 凰
mrgd 凰
mrgo 几年来
mrgx 贩毒
mrkk 肉制品
mrq 嵬
mrqc 嵬
mrtc 贩私
mrvj 几年如一日
ms 朵
msit 山西省
msj 剁
msjh 剁
msk 岢
mskf 岢
msu 朵
msv 崾
msvg 崾
msw 崧
mswc 崧
mt 几
mta 账
mtai 同舟共济
mtay 账
mtbk 贬职
mtbl 败阵
mtct 同等对待
mtd 峰
mtdh 峰
mtdj 峤
mtdn 几万
mtfg 败坏
mtfk 败露
mtgd 几天
mtgj 风行一时
mthk 几点
mtid 同等学历
mtis 同往常一样
mtiw 败兴
mtjf 几时
mtjg 风和日丽
mtjh 财务监督
mtjj 几日
mtk 赂
mtkg 赂
mtkn 购物中心
mtmf 几周
mtmt 巍峨
mtn 几
mtnf 财务收支
mtnn 屹
mtod 败类
mtog 同行业
mtp 贬
mtpy 贬
mtqd 巍然
mtr 峨
mtrg 财务报表
mtrh 几年
mtrt 峨
mtry 财务制度
mtss 财务检查
mttf 几千
mttg 财务管理
mtth 财务处
mtto 几番
mtts 几条
mttu 几乎
mttw 同等条件
mtu 嵊
mtuk 内务部
mtuq 败将
mtuu 屹立
mtux 败北
mtv 巍
mtvc 巍
mtwd 败仗
mtwf 贬值
mtwh 几个
mtwn 几亿
mtwq 贬低
mtwr 几件
mtws 几何
mtwu 几倍
mtwv 几分
mtwy 财务会计
mtxc 几经
mtxg 败绩
mtxt 财务纪律
mtxw 败给
mty 败
mtya 几度
mtyo 峰峦
mtyq 贬义
mtyr 败诉
mtyt 几许
mtyy 见利忘义
mu 赠
mucr 内部矛盾
mud 嵯
muda 嵯
muff 赔款
muft 内部刊物
mugj 周总理
mugn 赠与
mugt 内部事务
muj 嶂
mujh 嶂
muk 赔
mukg 赔
mukk 赠品
mukm 邮递员
mul 赠
mulj 赠
mupy 赔礼
muqg 赚钱
muqg 赔钱
murr 财产损失
musc 财产权
musg 赔本
musn 同病相怜
muud 赠送
muut 财产关系
muuu 赠阅
muv 赚
muvo 赚
muwb 财产保险
muwi 赔偿
mux 嵫
muxb 财产继承
muxj 赡养费
muxw 赠给
muxx 嵫
muy 罔
muyn 罔
muyy 赠言
mvgx 由始至终
mw 内
mwaj 内幕
mwak 内勤
mwal 内功
mwap 内蒙
mwbf 内陆
mwde 内有
mwdh 内在
mwdi 内耗
mwet 肉用
mwey 内脏
mwf 赊
mwfb 内地
mwfi 赊
mwfy 岗位培训
mwg 嵛
mwga 风华正茂
mwgh 内政
mwgj 嵛
mwgr 岗位责任制
mwgu 嶝
mwhk 内战
mwhv 肉眼
mwi 内
mwia 内江
mwib 内涵
mwim 岗位津贴
mwis 内河
mwja 见分晓
mwkk 肉食品
mwld 内因
mwmq 赊购
mwmt 见仁见智
mwng 内情
mwnn 风俗习惯
mwny 内心
mwod 肉类
mwpg 内定
mwpm 岗位补贴
mwpr 内宾
mwpw 内容
mwqh 内外
mwqi 赊销
mwqw 赊欠
mwrr 赔偿损失
mwtd 内乱
mwtf 内行
mwtl 内务
mwtm 内向
mwtn 同仇敌忾
mwtu 内科
mwuf 内装
mwuk 内部
mwuq 内疚
mwut 内阁
mwvf 内奸
mww 肉
mwwg 内债
mwwi 肉
mwwk 峪
mwws 肉体
mwww 几代人
mwwy 肉食
mwxg 内线
mwxt 内乡
mwy 崔
mwyc 岭
mwye 内衣
mwyf 崔
mwyi 内应
mwym 内设
mwyn 岑
mwys 肉麻
mwyu 内详
mxfh 几经考虑
mxmr 几经周折
mxqt 婴幼儿
mxrq 见缝插针
mxrt 几经反复
mxt 嶷
mxth 嶷
mxxt 财经纪律
my 凡
myai 丹东
myaq 崇文区
myb 崞
mybg 崞
mycy 见义勇为
myd 丹
mydm 几方面
mye 彤
myeg 嵩县
myet 彤
myf 赃
myff 赃款
myfg 赃
myfk 风调雨顺
myge 丹青
mygf 见诸于
mygk 凡事
mygt 丹麦
myi 凡
myjg 凡是
mykr 崇高品质
myll 丹田
mym 嵩
mymk 嵩
mymm 嵩山
mymy 风言风语
myn 赅
mynt 凡属
mynw 赅
mytf 见诸行动
mytr 赃物
mywg 凡例
myww 见证人
n 民
na 民
naaa 民工
naad 展期
naaf 民革
naap 民营
naaq 民警
nabm 展出
naby 民防
nack 展台
nae 展
naed 飞黄腾达
naei 展
naes 异彩
naet 民用
nafb 异地
nafc 民运
nafi 展示
nafj 民进
nafk 展露
nag 惬
naga 展开
nagh 民政
nagk 民事
nagm 展现
nagt 惟恐天下不乱
nagw 惬
nagy 改革开放
nahi 异步
naif 民法
naip 异常
nair 改革派
naj 异
naj 羿
naje 民盟
najg 惜
najt 展览
nakf 异味
nakk 展品
nakl 惜别
nakm 民革中央
nal 懵
nalg 异国
nalh 懵
nalt 忆苦思甜
nalw 民办
namg 异同
namq 民风
nan 屉
nand 心甘情愿
nanf 民愤
nang 民情
nann 异己
nant 异性
nanv 屉
nany 慌忙
napl 殿军
napp 以工补农
naq 怄
naqi 展销
naqy 怄
nard 尽其所有
narg 民兵
narn 怄气
nart 展播
nasc 民权
nask 民歌
nasu 异样
nat 懂
natd 慌乱
nate 民航
natf 懂行
natg 民生
natj 懂得
natk 民和
natn 愍
natw 居功自傲
nauj 惬意
naum 异端
nav 民
navf 民建
naw 殿
nawc 殿
nawe 臀
nawm 以工代赈
nawo 民营企业
naws 异体
naww 民众
nawx 异化
naxt 慌张
nay 慌
naye 民谣
nayg 民主
nayn 展望
nayp 改革方案
nayq 慌
nayt 民族
nayy 异议
nb 敢
nbb 孱
nbbb 孱
nbc 慑
nbcc 慑
nbct 发出通知
nbdf 屈辱
nbdg 以防万一
nbdj 憨厚
nbeb 屈服
nbft 屈才
nbgf 敢于
nbgi 以防不测
nbgp 层出不穷
nbiv 敢当
nbm 屈
nbmk 屈
nbng 尽职尽责
nbnt 局限性
nbrx 屈指
nbs 屙
nbsh 敢想
nbsk 屙
nbt 敢
nbtn 憨
nbty 敢
nbwd 敢做
nbww 屈从
nbxu 孱弱
nbyf 敢讲
nbyu 敢说
nc 怪
ncd 惨
ncde 惨
ncf 怪
ncfg 怪
ncfh 怿
ncfv 性能超群
ncgk 怪事
ncgm 惨遭
ncio 惨淡
ncjt 司马昭之心路人皆知
nck 怡
nckg 怡
ncla 快马加鞭
ncld 怪罪
ncmt 惨败
ncna 怪异
ncnd 惨剧
ncnj 惨怛
ncpv 惨案
ncrn 避难所
ncrr 惨白
ncru 以观后效
ncsg 壁垒森严
nctg 惨重
nctr 怪物
ncuc 惨痛
ncun 怪癖
ncw 悛
ncwn 怪僻
ncwt 悛
ncyt 怪话
ncyw 怪论
nd 居
nda 惰
ndae 惰
ndal 居功
ndbp 剧院
ndct 书面通知
ndd 居
nddb 丑态百出
ndde 忧郁
nddy 恹
ndfa 发达地区
ndfj 书面声明
ndfn 剧场
ndfu 剧增
ndg 怙
ndgf 居于
ndgk 憾事
ndgn 憾
ndgq 剧烈
ndgy 避而不谈
ndha 忧虑
ndhh 剧目
ndhj 恰在此时
ndj 剧
ndjd 悱
ndjh 剧
ndjv 剧照
ndkh 居中
ndkk 忧患
ndlf 剧团
ndlp 发达国家
ndm 怖
ndmh 怖
ndn 忧
ndna 居民
ndnf 忧愤
ndnn 忧
ndnt 惰性
ndny 忧心
ndo 恢
ndoy 恢
ndpg 居室
ndqd 居然
ndqq 居多
ndqy 居留
ndrt 书面报告
ndsd 情有可原
ndsg 剧本
ndso 书面材料
ndtj 恢复
ndtk 剧种
ndto 忧愁
ndud 剧减
ndwk 心有余而力不足
ndwn 心有余悸
ndwt 忧伤
ndwy 居住
ndxc 恢弘
ndxe 剧组
ndxt 剧终
neao 民用工业
neax 避孕药
negf 屈服于
negu 心胸开阔
neke 心服口服
nens 民用飞机
nepk 心腹之患
neqp 心胸狭窄
netp 民用航空
netx 以胜利而告终
neuk 民用产品
nf 导
nfa 愤
nfad 慰藉
nfam 愤
nfap 慰劳
nfaw 改进工作
nfbg 丑陋
nfc 层
nfci 层
nfck 收款台
nfcl 恸
nfcy 怯
nfcy 忮
nfd 丑
nfdj 懦
nfdm 层面
nff 恃
nffw 懦夫
nffy 恃
nfgc 导致
nfgf 慎于
nfgk 迅速
nfgn 屡教不改
nfgo 丑恶
nfgt 收支平衡
nfh 慎
nfhw 慎
nfi 慰
nfif 尉
nfin 慰
nfio 熨
nfip 导演
nfiy 导游
nfjg 导师
nfjn 导电
nfkk 必需品
nfkn 心直口快
nfnf 怯懦
nfnv 愤慨
nfp 迅
nfpb 悖
nfpk 迅
nfpu 屠宰
nfq 怃
nfqd 愤然
nfqn 怃
nfqs 屠杀
